objectNumber,briefDescription,objectName,title,material,objectProductionDate,objectProductionPerson,owner
38719,"The artist has described I See What You Mean as a stylized representation of native fauna. As the bear peeks inside the enormous facility at the conventioneers, displacement and wonder pique curiosity and question a greater relationship of art, technology and whimsy.<br/>“My public artworks are part of a larger whole,” stated Lawrence Argent. “I am an artist that utilizes assorted mediums and venues to engage the viewer in questioning the assumed and provide a vehicle by which stimulus opens a plethora of responses that defy verbal articulation.”","outdoor sculpture","I See What You Mean™","steel (alloy)",2005,"Lawrence Argent",
38725,"""Leaves of Grass"" consists of a group of sculptures, inspired by the blades of prairie grasses and yucca leaves native to Red Rocks Park. The three oversized blades are fabricated from discs of durable, hand-forged, stamped steel. The discs are welded together and molded into the blade shapes, then wire-brushed and powder-coated in a patina that will complement the surrounding landscape. The angular arc shapes will echo the rock strata in the area and the ascending ramp to the Amphitheatre. Aiello’s artwork is an elegant and harmonious addition to the Red Rocks landscape.","outdoor sculpture","Leaves of Grass","steel (alloy)",2009,"Tyler Aiello",DOCA
38731,"""Clear Concept"" is a lively mural that adorns the game room wall.","mural paintings (visual works)","Clear Concept","acrylic paint",1994,"Sherry Allen",DOCA
38737,"Altman's ""glazed"" abstractions serve to complement a structure that emphasizes modern elements, while co-existing with Colorado's natural beauty. The artist's work can be seen as representing elements found in nature, while maintaining a rich elegance. The paintings are resonant with color, ranging from earth tones to primary colors and everything in between. One color and its variations usually dominate a painting. The scratched surfaces add a primitive look that is reminiscent of the way nature wears away at the earth’s surface in stone.","paintings (visual works)",Untitled,canvas,2006,"Steve Altman",DOCA
38743,"These paintings attempt to capture the energy that exists when a building is under construction, as opposed to when it is complete, by freezing moments in time and exposing the beauty of the unfinished structure. All six of the paintings are based directly on photographs taken of the hotel during site visits throughout the construction period.","paintings (visual works)","Field Report","paper (fiber product)",2006,"Robin Ault",DOCA
38749,"“Full Play” is intended to welcome and delight the diverse visitors and staff who use the Center. As viewers move through the lobby, curving metal bands display cut-outs of people recreating. Unfurled above the steel are shaped acrylic panels. The acrylic panels carry translucent paintings inspired by the cottonwoods that surround the center.",metalwork,"Full Play","Plexiglas (TM)",1998,"Barbara Baer",DOCA
38755,"""Jazz"" was commissioned as the inaugural artwork to revitalize an urban sculpture park that has been a Denver landmark for 30 years. The new work combines 22 rolled steel plates, bolted end-to-end to create a giant looping coil. Park visitors can walk through and underneath the circling shapes. As they pass, drivers see flashing color shifts across the sculpture's metallic enamels.<br/>Baer feels that designing for indoor and outdoor public spaces is a favorite challenge: each sculpture must not only engage the eye and mind but also work well. Commissioned artworks evolve from the visual features of each site and reflections of the people who use the location. A successful work explores and celebrates its space, bringing humanizing grace, balance, and calm energy. Sculptures created for atriums or high-ceiling lobbies seem to float on their own buoyant spirits.","outdoor sculpture",Jazz,"powder coating",1999,"Barbara Baer",DOCA
38761,"Four lions sit in a circle at the bottom of the fountain facing out. The front half of each lion is shown. Two basins are located above the lions, smaller basin at the top. The sculpture was originally located at Elbert School and was brought to Hungarian Freedom Park in 1976.","outdoor sculpture","Benedict Fountain","marble (rock)",1932,"Maurice Bardin",DOCA
38767,"For Rehearsal, the artist Stephen Batura's task was to create a mural that would provide an appropriate transition from the lobby of the Ellie Caulkins Opera House to the performance space. His first objective was to portray the range of activities that might go on in advance of a grand night of opera. Ultimately, the artist selected each person and detail from hundreds of films, old photographs, paintings, illustrations, as well as new photographs of stage workers, friends, family and arts patrons. His second objective was for the mural to be as interesting from two hundred feet as from twenty. To meet this objective, the artist’s solution was to use a familiar four part image of a theater curtain, stage, orchestra pit and audience seating, and then give it a beehive-like quality.","mural paintings (visual works)","The Rehearsal","acrylic paint",2005,"Stephen Batura",DOCA
38773,"The sculpture was created in 1913 by the German artist Max Blondet working in Paris. During the 1940s, the fountain was defaced and damaged by Anti-German citizens.<br/>The Children's Fountain was restored with plaster in the 1950s, but by the 1970s these efforts began to fail. By this time the neighborhood had also decomposed and there was no initiative to restore this city treasure.<br/>In the 1990s, the community rallied around neighborhood renewal efforts and plans to resuscitate the park included a restoration of the fountain.","outdoor sculpture","Children's Fountain",plaster,1912,"Max Blondet",DOCA
