RefKey,ID Number,Number of Objects,Title,Title Language,Title Translation,Title Translation Language,Object name,Responsible department,Collection,Record Status,Brief Description,Comments,Dimension Part,Dimension Summary,Dimension ,Value,Unit,Content Person,Copy Number,Edition number,Form,Inscriber,Method,Material,Object status,Phase,Sex,Style,Tech attribute,Object component name,Production date,Production org,Organization role,Production people,Production person,Person role,Production place,Technique,Field collection event name,,,
CAT1,20CS.001.0001,1,A Man,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT2,20CS.001.0002,1,Rainbow,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT3,20CS.001.0003,1,Cloudy Day,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT4,20CS.001.0004,1,Dots Dots Dots,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT5,20CS.001.0005,1,Untitled (Watercolor I),English,,,painting,Paintings and Sculpture,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.75 x 12,height; width,8.75; 12,in,,,,,,,watercolor; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT6,20CS.001.0006,1,Garden,English,,,painting,Paintings and Sculpture,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,9 x 12,height; width,9; 12,in,,,,,,,acrylic paint; construction paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT7,20CS.001.0007,1,Fireworks,English,,,painting,Paintings and Sculpture,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,9 x 12,height; width,9; 12,in,,,,,,,acrylic paint; construction paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT8,20CS.001.0008,1,Untitled (Watercolor II),English,,,painting,Paintings and Sculpture,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,9 x 12,height; width,9; 12,in,,,,,,,watercolor; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT9,20CS.001.0009,1,Cyclone,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT10,20CS.001.0010,1,Blue Monday,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT11,20CS.018.1395,1,Souvenir books. The Wiz Scrapbook.,English,,,Souvenir books,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,11 x 8.5 x .5,height; width; depth,11; 8.5; .5,in,,,,,,,paper,,,,,,,1978,Berkley Publising Group,publisher,,Richard J. Anobile,author,"Louisville, KY",,,,,
CAT12,20CS.008.0033a-d,1,Window cards. Applause.,English,,,Window cards,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,22 x 14,height; width,22; 14,in,Helen Morgan,,,,,,paper,,,,,,,1930,Paramount-Famous Lasky Corporation,distributor,,,,,lithography,,,,
CAT13,20CS.075.0084-.0094,1,Souvenir books. The Big Broadcast.,English,,,Souvenir books,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,9 x 6,height; width,9; 6,in,,,,,,,paper,,,,,,,1932,Paramount Publix Corporation,distributor,,,,,,,,,
