objectNumber,collection,briefDescription,objectName,title,titleType,material,objectProductionDate,objectProductionDateType,dimensionValue,dimension,dimensionMeasurementUnit,objectProductionPerson,objectProductionPersonRole,objectProductionPersonType,owners_org,owners_person
38899,"Denver International Airport, Arts & Venues Denver: Public Art Program","""Cow"" is a 32-foot cast-fiberglass sculpture by Luis Jimenez. Jimenez' characteristic style references the grandeur of the Mexican muralists, the energy of the Southwest, and the bright colors he experienced in his youth in his father’s sign-making company. Jimenez’ vivid paint, unique treatment of surface, and method of exaggeration have influenced many young artists who are emerging in the galleries of Los Angeles and New York in the styles that are known as Lo-brow and Urban Art. Luis was an American artist who never forgot his Mexican heritage.© 2010 Estate of Luis A. Jimenez, Jr. / Artists Rights Society (ARS), New York",sculpture (visual work); outdoor sculpture,Mustang,cited,steel (alloy); fiberglass; paint,,commission,32,height,feet,Luis Jimenez,artist,person,DOCA,Andrew Reid
38899-y,"Denver International Airport, Arts & Venues Denver: Public Art Program","""Cow"" is a 32-foot cast-fiberglass sculpture by Luis Jimenez. Jimenez' characteristic style references the grandeur of the Mexican muralists, the energy of the Southwest, and the bright colors he experienced in his youth in his father’s sign-making company. Jimenez’ vivid paint, unique treatment of surface, and method of exaggeration have influenced many young artists who are emerging in the galleries of Los Angeles and New York in the styles that are known as Lo-brow and Urban Art. Luis was an American artist who never forgot his Mexican heritage.© 2010 Estate of Luis A. Jimenez, Jr. / Artists Rights Society (ARS), New York",sculpture (visual work); outdoor sculpture,Mustang,cited,steel (alloy); fiberglass; paint,2008,commission,32,height,feet,Luis Jimenez,artist,person,DOCA,
38905,Arts & Venues Denver: Public Art Program,"The piece includes metal fabricated constructions and neon banding of the architecture.  The metal structures are positioned in and around the terraced entry way in such a way that it gives the viewer the illusion of active kinetic energy.  Each individual piece darts and swirls around the columns like that of whirling dust devils, coaxing the viewer to follow and chase each piece.  The character of these constructions can have many origins.  They may suggest implements for mechanical measure, relate to organic plant forms, or even some kind of ceremonial scepter.  With the understanding that this building will have many uses and have diverse clientele: the intention is to tantalize each convention goer to assert each of his or her own experience and relationship that responds to the sculptural forms.<br/>The piece was originally installed in 1991 and reinstalled in 2004.",sculpture (visual work),Tail Spin,generic,neon; metal,2004,commission,50,height,feet,Erick Johnson,artist,person,DOCA,
38911,Arts & Venues Denver: Public Art Program,The sculpture was one of 17 works commissioned to beautify downtown Denver traffic islands. The idea for the project originated in Nov. 1971 at meetings with The Park People and the I-25 Artists' Alliance. Models were submitted in July 1972. The sculpture was fabricated by William Joseph; the top and bottom pieces were cast by Fedde Bronze.,outdoor sculpture,Beaumont Fountain,generic,bronze (metal),1975,commission,,height,,William F. Joseph,artist,person,DOCA,
38917,Arts & Venues Denver: Public Art Program,A 28' tall totem portraying a family of brightly colored geometric acrobats.,outdoor sculpture,Family Pillar,generic,steel (alloy); powder coating,1997,commission,26,height,feet,Lisa Kaslow,artist,person,DOCA,
38923,Arts & Venues Denver: Public Art Program,"Forgotten Landscape is a permanent video installation designed specifically for the new Hyatt Denver Convention Center Hotel in downtown Denver. The installation consists of a custom panoramic nine-video flat screen configuration built into the Hotel architecture displaying High Definition video content.<br/>The thirty-seven minute film loop displayed on the video screens explores the spectrum of moods and textures experienced in the obscure corners of the Colorado landscape - areas often overlooked, yet are quintessentially Colorado. A variety of environments - dry grassy plains, plowed fields, an abandoned farmhouse, mountain meadows, creeks and canyons - are associatively composed together to form a new dynamic and creative geography. Experimental techniques are used in the film to represent the act of seeing and recognizing the figurative world, as images emerge from- and dissolve into overexposed shots.",video art,Forgotten Landscape,generic,electronic image components,2006,commission,,height,,Shannon Kelly,artist,person,DOCA,
67534,University of Houston,"Three new buildings designed by Cesar Pelli were added to the university‚Äôs existing Science and Research building. The buildings, a laboratory, auditorium and classroom building, surround a courtyard. Working with the architect's office I designed the fountain and benches to fit within the courtyard space and interact with the surrounding buildings. The red and black granite stones complement the colors of the auditorium and classroom buildings.",fountains,Fountain,generic,,2004; 2006,commission; creation,4.25,height,feet,Jackie Ferrara,artist,person,University of Houston,
71689,"Art in Public Places, City of Austin, TX","This work is one of a set of prints located in the lobby of the City's Learning and Research Center. Purchased from Austin printmakers in 1997, the collection is intended to represent many different printmaking techniques and local printmaking studios.",prints (visual works),Collector Revisited,generic,,1993,commission,,,,Kelly Fearing,artist,person,"Art in Public Places, City of Austin, TX",
59759,Albuquerque Public Art,Monotype print depicting a southwestern landscape of red rock arches and sky.,monoprints (painting and printing works),Untitled,generic,,2001,commission,,,,Robert Pelegrin,artist,person,Albuquerque Public Art,
85832,Fort Worth Public Art,"In celebration of the abundant and rich natural environment of the North Texas prairie the artist juxtaposed an allegorical female figure symbolizing the wind with realistically rendered native flora and fauna of the sky, earth, and water on the three-sided pedestal. The sculpture‚Äôs height casts a sundial-like shadow is a reminder of the passage of time.",sculpture (visual work),Prairie Wind,generic,,2010,commission,,,,Michael Pavlovsky,artist,person,Fort Worth Public Art,
85832-a,Fort Drake Public Art,A little something.,sculpture (visual work),Ruffled Feathers,generic,neon; paint,2018,commission,100,width,inches,Sara Drake; Marvin Duck,artist; designer,person; organization,Drake Estate; Mallard Mills, Sally Ride; Don Walker
